gene_name,gene_biotype,chromosome,strand,transcript_count
PCBP1,protein_coding,chr2,+,1
HINT1,protein_coding,chr5,-,10
DTWD2,protein_coding,chr5,-,4
VPREB1,protein_coding,chr22,+,2
CLIC3,protein_coding,chr9,-,3
INO80E,protein_coding,chr16,+,14
BNC1,protein_coding,chr15,-,2
DFFB,protein_coding,chr1,+,12
NFU1,protein_coding,chr2,-,10
ANTXR1,protein_coding,chr2,+,7
GKN1,protein_coding,chr2,+,2
CKAP2L,protein_coding,chr2,-,6
C15orf40,protein_coding,chr15,-,12
FAM103A1,protein_coding,chr15,+,1
PROKR1,protein_coding,chr2,+,1
APLF,protein_coding,chr2,+,7
BOLA2B,protein_coding,chr16,-,4
RGPD8,protein_coding,chr2,-,7
HIC2,protein_coding,chr22,+,3
LUZP1,protein_coding,chr1,-,5
HEXDC,protein_coding,chr17,+,15
DRD5,protein_coding,chr4,+,1
BUB1,protein_coding,chr2,-,12
SPNS1,protein_coding,chr16,+,12
LRRC45,protein_coding,chr17,+,6
CHRNA5,protein_coding,chr15,+,4
MT1B,protein_coding,chr16,+,2
STRA13,protein_coding,chr17,-,11
AGPAT2,protein_coding,chr9,-,5
ASPSCR1,protein_coding,chr17,+,21
GP9,protein_coding,chr3,+,1
FASN,protein_coding,chr17,-,13
CNBP,protein_coding,chr3,-,10
MT1E,protein_coding,chr16,+,3
ACTRT2,protein_coding,chr1,+,1
DUS1L,protein_coding,chr17,-,16
GPS1,protein_coding,chr17,+,28
RFNG,protein_coding,chr17,-,12
DCXR,protein_coding,chr17,-,21
ZNF32,protein_coding,chr10,-,3
LDB2,protein_coding,chr4,-,16
RAC3,protein_coding,chr17,+,4
NRG4,protein_coding,chr15,-,16
LIMS1,protein_coding,chr2,+,15
TMEM266,protein_coding,chr15,+,5
NLGN1,protein_coding,chr3,+,11
TAPT1,protein_coding,chr4,-,17
UGP2,protein_coding,chr2,+,31
TAS2R1,protein_coding,chr5,-,3
LINGO1,protein_coding,chr15,-,14
PRY,protein_coding,chrY,+,2
RBMY1F,protein_coding,chrY,-,3
PRY2,protein_coding,chrY,-,2
HNRNPF,protein_coding,chr10,-,7
BTD,protein_coding,chr3,+,12
CSGALNACT2,protein_coding,chr10,+,1
TACR3,protein_coding,chr4,-,1
GSX1,protein_coding,chr13,+,1
PCDH7,protein_coding,chr4,+,8
ROBO1,protein_coding,chr3,-,13
ONECUT1,protein_coding,chr15,-,4
AVEN,protein_coding,chr15,-,3
P2RY1,protein_coding,chr3,+,1
CTNND2,protein_coding,chr5,-,17
TRIM56,protein_coding,chr7,+,4
MUC17,protein_coding,chr7,+,4
AHSP,protein_coding,chr16,+,3
WNT10B,protein_coding,chr12,-,6
CALML6,protein_coding,chr1,+,4
REPS2,protein_coding,chrX,+,5
MUC3A,protein_coding,chr7,+,4
SYAP1,protein_coding,chrX,+,2
ITGAM,protein_coding,chr16,+,8
PYDC1,protein_coding,chr16,-,2
TPST1,protein_coding,chr7,+,5
TM4SF4,protein_coding,chr3,+,3
TOR1AIP2,protein_coding,chr1,-,6
S100G,protein_coding,chrX,+,1
TM4SF1,protein_coding,chr3,-,4
OTUD3,protein_coding,chr1,+,3
OTUD7A,protein_coding,chr15,-,4
GUSB,protein_coding,chr7,-,14
BRD3,protein_coding,chr9,-,6
KLF13,protein_coding,chr15,+,7
FRMPD4,protein_coding,chrX,+,2
ZFPM2,protein_coding,chr8,+,10
ZNF764,protein_coding,chr16,-,3
HSFY2,protein_coding,chrY,-,5
ZNF747,protein_coding,chr16,-,3
ZNF768,protein_coding,chr16,-,2
TAS1R3,protein_coding,chr1,+,1
TMEM42,protein_coding,chr3,+,3
MAP3K2,protein_coding,chr2,-,3
PUSL1,protein_coding,chr1,+,5
SF3B5,protein_coding,chr6,-,1
ZNF35,protein_coding,chr3,+,6
TIGD4,protein_coding,chr4,-,1
IFFO2,protein_coding,chr1,-,3
NLGN2,protein_coding,chr17,+,4
MYO7B,protein_coding,chr2,+,8
CHD3,protein_coding,chr17,+,17
TMEM154,protein_coding,chr4,-,4
MYRIP,protein_coding,chr3,+,10
ALCAM,protein_coding,chr3,+,9
YWHAG,protein_coding,chr7,-,1
UBE2E3,protein_coding,chr2,+,14
CNTROB,protein_coding,chr17,+,15
TRAPPC1,protein_coding,chr17,-,7
ZPLD1,protein_coding,chr3,+,4
KCNAB3,protein_coding,chr17,-,6
SERPINA9,protein_coding,chr14,-,8
FAM153A,protein_coding,chr5,-,23
GPR37L1,protein_coding,chr1,+,1
SIMC1,protein_coding,chr5,+,11
TMEM192,protein_coding,chr4,-,3
HMP19,protein_coding,chr5,+,9
SPDYE5,protein_coding,chr7,+,3
SERPINA6,protein_coding,chr14,-,3
ZNF778,protein_coding,chr16,+,7
NIPA1,protein_coding,chr15,+,7
FOXD4,protein_coding,chr9,-,1
GPR25,protein_coding,chr1,+,1
UBE2E1,protein_coding,chr3,+,11
HNRNPA3,protein_coding,chr2,+,6
SIK2,protein_coding,chr11,+,2
RNF150,protein_coding,chr4,-,6
CCDC144A,protein_coding,chr17,+,13
VGLL2,protein_coding,chr6,+,2
HOXD4,protein_coding,chr2,+,1
CHRNB1,protein_coding,chr17,+,8
HOXD12,protein_coding,chr2,+,2
GYPA,protein_coding,chr4,-,12
USP38,protein_coding,chr4,+,3
SLC16A5,protein_coding,chr17,+,10
NANP,protein_coding,chr20,-,1
ANKK1,protein_coding,chr11,+,2
ADRA1B,protein_coding,chr5,+,1
ADPRM,protein_coding,chr17,+,4
FABP6,protein_coding,chr5,+,4
PWWP2A,protein_coding,chr5,-,6
USP50,protein_coding,chr15,-,5
USP47,protein_coding,chr11,+,11
PDCD6IP,protein_coding,chr3,+,17
MRGPRX1,protein_coding,chr11,-,2
ZNF212,protein_coding,chr7,+,5
MRAP,protein_coding,chr21,+,4
FAM161A,protein_coding,chr2,-,7
ZNF282,protein_coding,chr7,+,4
GLB1,protein_coding,chr3,-,19
C14orf142,protein_coding,chr14,-,2
FAXDC2,protein_coding,chr5,-,16
CRTAP,protein_coding,chr3,+,3
HSPB2,protein_coding,chr11,+,1
C7orf33,protein_coding,chr7,+,1
CNGB3,protein_coding,chr8,-,3
SLN,protein_coding,chr11,-,3
ELP5,protein_coding,chr17,+,15
CMTM8,protein_coding,chr3,+,2
GABARAP,protein_coding,chr17,-,6
LGALS9B,protein_coding,chr17,-,6
STX8,protein_coding,chr17,-,12
CDK1,protein_coding,chr10,+,9
UBB,protein_coding,chr17,+,9
NFRKB,protein_coding,chr11,-,11
FABP4,protein_coding,chr8,-,4
FRMPD2,protein_coding,chr10,-,14
PRDM10,protein_coding,chr11,-,9
B3GNT2,protein_coding,chr2,+,2
FOS,protein_coding,chr14,+,10
TMED10,protein_coding,chr14,-,7
SETMAR,protein_coding,chr3,+,8
SMAD1,protein_coding,chr4,+,16
CST5,protein_coding,chr20,-,1
CST2,protein_coding,chr20,-,1
EMX2,protein_coding,chr10,+,4
CST1,protein_coding,chr20,-,2
SP7,protein_coding,chr12,-,4
TCAF2,protein_coding,chr7,+,6
SEMA3E,protein_coding,chr7,-,4
LRRN2,protein_coding,chr1,-,4
SLC30A1,protein_coding,chr1,-,1
DCLK2,protein_coding,chr4,+,7
ZNF804A,protein_coding,chr2,+,2
GPRC5C,protein_coding,chr17,+,11
TMEM182,protein_coding,chr2,+,8
VSTM2A,protein_coding,chr7,+,8
KRT8,protein_coding,chr12,-,17
KRT78,protein_coding,chr12,-,5
ADORA2B,protein_coding,chr17,+,2
SDR9C7,protein_coding,chr12,-,1
MGMT,protein_coding,chr10,+,4
METTL7B,protein_coding,chr12,+,2
KRT86,protein_coding,chr12,+,3
HARS,protein_coding,chr5,-,13
NFXL1,protein_coding,chr4,-,8
KRT75,protein_coding,chr12,-,1
DENND5B,protein_coding,chr12,-,7
CD14,protein_coding,chr5,-,5
DNAJC18,protein_coding,chr5,-,12
KRT6C,protein_coding,chr12,-,2
C14orf169,protein_coding,chr14,+,1
SPATA24,protein_coding,chr5,-,7
RALGAPB,protein_coding,chr20,+,9
PYM1,protein_coding,chr12,-,7
MZB1,protein_coding,chr5,-,8
KRT4,protein_coding,chr12,-,5
SLC23A1,protein_coding,chr5,-,7
KRT74,protein_coding,chr12,-,3
NPAS2,protein_coding,chr2,+,12
KRT72,protein_coding,chr12,-,5
KISS1,protein_coding,chr1,-,2
LONRF2,protein_coding,chr2,-,2
NUDT9,protein_coding,chr4,+,8
HSD17B13,protein_coding,chr4,-,2
PA2G4,protein_coding,chr12,+,7
COX7B2,protein_coding,chr4,-,4
ELOVL6,protein_coding,chr4,-,8
KRT83,protein_coding,chr12,-,1
PFKFB3,protein_coding,chr10,+,17
TMC7,protein_coding,chr16,+,5
ARL6IP1,protein_coding,chr16,-,8
SERPINB9,protein_coding,chr6,-,1
SMAGP,protein_coding,chr12,-,8
IRX1,protein_coding,chr5,+,1
CDH2,protein_coding,chr18,-,5
IRX2,protein_coding,chr5,-,2
EMB,protein_coding,chr5,-,5
SIX2,protein_coding,chr2,-,1
DLGAP1,protein_coding,chr18,-,21
STAT2,protein_coding,chr12,-,12
NUDCD2,protein_coding,chr5,-,4
IRF2BP1,protein_coding,chr19,-,1
OR9K2,protein_coding,chr12,+,1
HSPA4,protein_coding,chr5,+,6
FOXA3,protein_coding,chr19,+,2
FAM71B,protein_coding,chr5,-,1
SLC26A5,protein_coding,chr7,-,15
COMMD5,protein_coding,chr8,-,7
SGCD,protein_coding,chr5,+,4
GTSF1,protein_coding,chr12,-,9
ZNF16,protein_coding,chr8,-,9
ARMC10,protein_coding,chr7,+,11
RNF34,protein_coding,chr12,+,11
ACYP2,protein_coding,chr2,+,9
TRABD,protein_coding,chr22,+,6
TMEM133,protein_coding,chr11,+,1
ATF7,protein_coding,chr12,-,12
RASA4B,protein_coding,chr7,-,7
SOCS6,protein_coding,chr18,+,3
MURC,protein_coding,chr9,+,1
OR10A3,protein_coding,chr11,-,1
ZNF296,protein_coding,chr19,-,2
HOXB9,protein_coding,chr17,-,1
TTLL6,protein_coding,chr17,-,9
POLH,protein_coding,chr6,+,3
SYT9,protein_coding,chr11,+,3
KCNS3,protein_coding,chr2,+,5
RBMXL2,protein_coding,chr11,+,1
KIF5B,protein_coding,chr10,-,2
GPR37,protein_coding,chr7,-,1
AKAP13,protein_coding,chr15,+,25
TPD52L3,protein_coding,chr9,+,3
CDCA4,protein_coding,chr14,-,2
OR10A4,protein_coding,chr11,+,1
SDR16C5,protein_coding,chr8,-,3
DYDC1,protein_coding,chr10,-,5
OR10A2,protein_coding,chr11,+,1
CHCHD7,protein_coding,chr8,+,18
HTRA3,protein_coding,chr4,+,2
FOXN2,protein_coding,chr2,+,3
LMOD2,protein_coding,chr7,+,2
BFSP2,protein_coding,chr3,+,6
FSHR,protein_coding,chr2,-,5
USP32,protein_coding,chr17,-,15
CEL,protein_coding,chr9,+,2
PPM1D,protein_coding,chr17,+,4
GPR27,protein_coding,chr3,+,1
PSG6,protein_coding,chr19,-,9
KBTBD2,protein_coding,chr7,-,8
MINA,protein_coding,chr3,-,9
TRIAP1,protein_coding,chr12,-,2
LSM3,protein_coding,chr3,+,1
KIAA0232,protein_coding,chr4,+,5
MTSS1,protein_coding,chr8,-,18
TMEM43,protein_coding,chr3,+,2
RNF139,protein_coding,chr8,+,2
RPS9,protein_coding,chr19,+,13
PLA2G1B,protein_coding,chr12,-,3
CYTL1,protein_coding,chr4,-,3
TSEN34,protein_coding,chr19,+,7
TRH,protein_coding,chr3,+,2
GSTA4,protein_coding,chr6,-,6
MSANTD4,protein_coding,chr11,-,6
NDUFA3,protein_coding,chr19,+,14
OSCAR,protein_coding,chr19,-,11
PAQR8,protein_coding,chr6,+,3
NUDT6,protein_coding,chr4,-,8
OR7G3,protein_coding,chr19,-,1
TANC2,protein_coding,chr17,+,11
OR7G2,protein_coding,chr19,-,1
TEX13B,protein_coding,chrX,-,1
PKHD1,protein_coding,chr6,-,2
OR1M1,protein_coding,chr19,+,1
NCBP2L,protein_coding,chrX,+,1
DNAJC24,protein_coding,chr11,+,11
MBD3L1,protein_coding,chr19,+,2
ZNF160,protein_coding,chr19,-,16
PGK2,protein_coding,chr6,-,1
OR8B12,protein_coding,chr11,-,1
ZNF415,protein_coding,chr19,-,26
PRKCDBP,protein_coding,chr11,-,4
CEACAM3,protein_coding,chr19,+,8
DCDC1,protein_coding,chr11,-,11
HAS2,protein_coding,chr8,-,1
PDGFD,protein_coding,chr11,-,3
PLAC1,protein_coding,chrX,-,4
DDI1,protein_coding,chr11,+,1
S1PR1,protein_coding,chr1,+,3
HS6ST2,protein_coding,chrX,-,5
OR4D5,protein_coding,chr11,+,1
PYGO1,protein_coding,chr15,-,2
LRRC8E,protein_coding,chr19,+,6
PKIA,protein_coding,chr8,+,3
XKR6,protein_coding,chr8,-,4
TSNARE1,protein_coding,chr8,-,8
FPR2,protein_coding,chr19,+,6
FPR1,protein_coding,chr19,-,4
PATE1,protein_coding,chr11,+,3
OR13H1,protein_coding,chrX,+,1
FEZ2,protein_coding,chr2,-,16
SOX7,protein_coding,chr8,-,1
C8orf74,protein_coding,chr8,+,7
C11orf24,protein_coding,chr11,-,9
ALK,protein_coding,chr2,-,5
KYAT1,protein_coding,chr9,-,10
MTM1,protein_coding,chrX,+,5
OBP2B,protein_coding,chr9,-,5
TRMT61B,protein_coding,chr2,-,5
INSR,protein_coding,chr19,-,7
MFN1,protein_coding,chr3,+,9
GIMAP8,protein_coding,chr7,+,1
HSFX1,protein_coding,chrX,+,1
NRTN,protein_coding,chr19,+,1
KCNMB3,protein_coding,chr3,-,7
FUT3,protein_coding,chr19,-,10
KCNG3,protein_coding,chr2,-,2
ATP6V0E2,protein_coding,chr7,+,13
PRKCE,protein_coding,chr2,+,15
OR2K2,protein_coding,chr9,-,2
JAGN1,protein_coding,chr3,+,2
RLN3,protein_coding,chr19,+,2
TADA3,protein_coding,chr3,-,6
SOCS5,protein_coding,chr2,+,2
C1GALT1C1,protein_coding,chrX,-,2
C9orf16,protein_coding,chr9,+,4
MORN4,protein_coding,chr10,-,3
ZNF672,protein_coding,chr1,+,7
ZNF692,protein_coding,chr1,-,30
NAIF1,protein_coding,chr9,-,4
RBKS,protein_coding,chr2,-,5
OR2M4,protein_coding,chr1,+,1
GRIK1,protein_coding,chr21,-,8
MUC7,protein_coding,chr4,+,7
OPRPN,protein_coding,chr4,+,3
SMR3B,protein_coding,chr4,+,4
TMEM126A,protein_coding,chr11,+,6
TMEM126B,protein_coding,chr11,+,11
TRIM8,protein_coding,chr10,+,4
NETO2,protein_coding,chr16,-,5
CSN3,protein_coding,chr4,+,1
CLDN20,protein_coding,chr6,+,1
CDC42BPG,protein_coding,chr11,-,4
SCAND1,protein_coding,chr20,-,3
JUNB,protein_coding,chr19,+,1
C10orf35,protein_coding,chr10,+,3
TMEM37,protein_coding,chr2,+,4
UGT2B7,protein_coding,chr4,+,5
LRG1,protein_coding,chr19,-,2
SHCBP1,protein_coding,chr16,-,7
SOSTDC1,protein_coding,chr7,-,2
NPTX1,protein_coding,chr17,-,4
FAM98B,protein_coding,chr15,+,4
ZNF439,protein_coding,chr19,+,5
ZNF440,protein_coding,chr19,+,6
GAA,protein_coding,chr17,+,9
CANT1,protein_coding,chr17,-,16
KCNK3,protein_coding,chr2,+,2
ZDHHC16,protein_coding,chr10,+,18
CHST11,protein_coding,chr12,+,6
EXOSC1,protein_coding,chr10,-,11
PGAM1,protein_coding,chr10,+,3
CHD7,protein_coding,chr8,+,12
ESCO2,protein_coding,chr8,+,8
KRT19,protein_coding,chr17,-,7
KRT15,protein_coding,chr17,-,10
LURAP1,protein_coding,chr1,+,1
KRT38,protein_coding,chr17,-,1
CLCN5,protein_coding,chrX,+,5
TPPP,protein_coding,chr5,-,1
KCND3,protein_coding,chr1,-,3
APLN,protein_coding,chrX,-,1
KRTAP4-4,protein_coding,chr17,-,1
KRT13,protein_coding,chr17,-,9
XAGE3,protein_coding,chrX,-,2
KRT9,protein_coding,chr17,-,2
XAGE5,protein_coding,chrX,+,4
PDE7B,protein_coding,chr6,+,3
MRPL36,protein_coding,chr5,-,5
ZNF581,protein_coding,chr19,+,4
NAT1,protein_coding,chr8,+,10
KRT20,protein_coding,chr17,-,2
GLOD5,protein_coding,chrX,+,4
KSR2,protein_coding,chr12,-,4
ZNF524,protein_coding,chr19,+,3
MCC,protein_coding,chr5,-,10
KRT27,protein_coding,chr17,-,2
ZBTB26,protein_coding,chr9,-,2
CDK5R2,protein_coding,chr2,+,1
DSEL,protein_coding,chr18,-,1
POLR1C,protein_coding,chr6,+,9
ASXL1,protein_coding,chr20,+,12
OR1L6,protein_coding,chr9,+,2
DLK2,protein_coding,chr6,-,4
ZNF562,protein_coding,chr19,-,8
ZNF318,protein_coding,chr6,-,4
ZNF561,protein_coding,chr19,-,21
WIPF2,protein_coding,chr17,+,10
HOPX,protein_coding,chr4,-,15
SPACA5B,protein_coding,chrX,+,1
OR1L3,protein_coding,chr9,+,1
NLRP5,protein_coding,chr19,+,3
LRRC8C,protein_coding,chr1,+,4
SPACA5,protein_coding,chrX,+,2
RSL1D1,protein_coding,chr16,-,12
LRRC8D,protein_coding,chr1,+,7
MROH2B,protein_coding,chr5,-,6
OR1L8,protein_coding,chr9,-,1
PPID,protein_coding,chr4,-,3
OR1N2,protein_coding,chr9,+,2
COL24A1,protein_coding,chr1,-,5
ETFDH,protein_coding,chr4,+,8
OR1N1,protein_coding,chr9,-,2
RXFP1,protein_coding,chr4,+,11
LPAR3,protein_coding,chr1,-,3
PTGER4,protein_coding,chr5,+,5
TBCA,protein_coding,chr5,-,9
NEUROD2,protein_coding,chr17,-,2
MAP6,protein_coding,chr11,-,4
OTP,protein_coding,chr5,-,2
ECEL1,protein_coding,chr2,-,4
BCL2L1,protein_coding,chr20,-,9
FGG,protein_coding,chr4,-,12
FGA,protein_coding,chr4,-,3
OR2AT4,protein_coding,chr11,-,1
FGB,protein_coding,chr4,+,7
PLRG1,protein_coding,chr4,-,13
RAB4B-EGLN2,protein_coding,chr19,+,3
ZNF584,protein_coding,chr19,+,9
DSCAM,protein_coding,chr21,-,3
DNAI2,protein_coding,chr17,+,6
NMUR1,protein_coding,chr2,-,1
CLSTN1,protein_coding,chr1,-,5
CXXC5,protein_coding,chr5,+,16
ZNF274,protein_coding,chr19,+,14
PIK3CD,protein_coding,chr1,+,8
PTCRA,protein_coding,chr6,+,4
SLC25A33,protein_coding,chr1,+,1
ENC1,protein_coding,chr5,-,7
SPSB1,protein_coding,chr1,+,4
P2RY6,protein_coding,chr11,+,12
BPTF,protein_coding,chr17,+,18
S100Z,protein_coding,chr5,+,3
ZIK1,protein_coding,chr19,+,8
GPR82,protein_coding,chrX,+,2
GPR34,protein_coding,chrX,+,3
PLEKHG5,protein_coding,chr1,-,12
ATF7IP,protein_coding,chr12,+,24
LKAAEAR1,protein_coding,chr20,-,2
RGS19,protein_coding,chr20,-,4
TCEA2,protein_coding,chr20,+,17
DEFB4A,protein_coding,chr8,+,1
ANO5,protein_coding,chr11,+,2
HDAC3,protein_coding,chr5,-,16
C1orf111,protein_coding,chr1,-,2
GPHN,protein_coding,chr14,+,16
VAT1L,protein_coding,chr16,+,2
TMEM51,protein_coding,chr1,+,6
CAMTA1,protein_coding,chr1,+,16
LGALS4,protein_coding,chr19,-,9
LRRC34,protein_coding,chr3,-,12
PAH,protein_coding,chr12,-,18
SPATA5L1,protein_coding,chr15,+,7
GATM,protein_coding,chr15,-,13
SYCE1,protein_coding,chr10,-,5
NXNL1,protein_coding,chr19,-,1
RASGRP4,protein_coding,chr19,-,20
NHLH1,protein_coding,chr1,+,1
SLFNL1,protein_coding,chr1,-,5
BCL2,protein_coding,chr18,-,4
RHNO1,protein_coding,chr12,+,10
CTPS1,protein_coding,chr1,+,12
UTF1,protein_coding,chr10,+,1
KNDC1,protein_coding,chr10,+,5
WDR87,protein_coding,chr19,-,3
METTL18,protein_coding,chr1,-,3
CFAP46,protein_coding,chr10,-,8
COL8A2,protein_coding,chr1,-,4
PWWP2B,protein_coding,chr10,+,2
PCDHB1,protein_coding,chr5,+,1
ZNF540,protein_coding,chr19,+,10
ANGPTL7,protein_coding,chr1,+,2
FBXL14,protein_coding,chr12,-,2
EXOSC10,protein_coding,chr1,-,11
ZNF570,protein_coding,chr19,+,7
NINJ2,protein_coding,chr12,-,5
MLLT3,protein_coding,chr9,-,10
FAM90A1,protein_coding,chr12,-,3
RRM2,protein_coding,chr2,+,11
TRAPPC12,protein_coding,chr2,+,23
IFNB1,protein_coding,chr9,-,1
RPS21,protein_coding,chr20,+,5
C3AR1,protein_coding,chr12,-,2
MRM3,protein_coding,chr17,+,4
PTEN,protein_coding,chr10,+,7
RPS7,protein_coding,chr2,+,9
PRND,protein_coding,chr20,+,1
RNASEH1,protein_coding,chr2,-,4
PRNP,protein_coding,chr20,+,4
KLF17,protein_coding,chr1,+,2
ADRA1D,protein_coding,chr20,-,2
FRMD5,protein_coding,chr15,-,12
AQP4,protein_coding,chr18,-,8
CYP4F11,protein_coding,chr19,-,5
TLN2,protein_coding,chr15,+,12
LGALS9C,protein_coding,chr17,+,15
TVP23B,protein_coding,chr17,+,10
FBXW10,protein_coding,chr17,+,5
OR10H3,protein_coding,chr19,+,1
ZNF217,protein_coding,chr20,-,5
OR10H2,protein_coding,chr19,+,1
SRGAP2C,protein_coding,chr1,+,5
OR52A5,protein_coding,chr11,-,1
SCG2,protein_coding,chr2,-,3
ATPAF2,protein_coding,chr17,-,13
CYP4F22,protein_coding,chr19,+,2
FOXB1,protein_coding,chr15,+,3
PPIH,protein_coding,chr1,+,6
DRC3,protein_coding,chr17,+,18
ZNF57,protein_coding,chr19,+,5
C20orf196,protein_coding,chr20,+,4
C11orf40,protein_coding,chr11,-,1
JMJD1C,protein_coding,chr10,-,11
LDHAL6B,protein_coding,chr15,+,1
SYNPO,protein_coding,chr5,+,5
ZNF556,protein_coding,chr19,+,3
MAL,protein_coding,chr2,+,5
ZNF554,protein_coding,chr19,+,4
RAB33B,protein_coding,chr4,+,2
THOP1,protein_coding,chr19,+,14
ANKRD20A4,protein_coding,chr9,+,3
REG3A,protein_coding,chr2,-,5
GAP43,protein_coding,chr3,+,2
REG1B,protein_coding,chr2,-,5
EPHX4,protein_coding,chr1,+,2
LAMB2,protein_coding,chr3,-,19
USP19,protein_coding,chr3,-,15
QARS,protein_coding,chr3,-,53
ORMDL3,protein_coding,chr17,-,8
SERF1A,protein_coding,chr5,+,9
KLF11,protein_coding,chr2,+,6
LRRC15,protein_coding,chr3,-,2
SMN1,protein_coding,chr5,+,11
EIF2AK3,protein_coding,chr2,-,6
TEX37,protein_coding,chr2,+,1
MOB3A,protein_coding,chr19,-,9
KRCC1,protein_coding,chr2,-,1
NME6,protein_coding,chr3,-,19
CYCS,protein_coding,chr7,-,4
CD8B,protein_coding,chr2,-,6
SLFN12,protein_coding,chr17,-,8
CALB2,protein_coding,chr16,+,5
SLC9C1,protein_coding,chr3,-,5
OR1A1,protein_coding,chr17,+,1
OR1A2,protein_coding,chr17,+,1
OR8I2,protein_coding,chr11,+,1
LCE1D,protein_coding,chr1,+,1
CCL11,protein_coding,chr17,+,1
FRMD3,protein_coding,chr9,-,7
SNTB1,protein_coding,chr8,-,5
MTBP,protein_coding,chr8,+,8
TEFM,protein_coding,chr17,-,5
MRPL13,protein_coding,chr8,-,7
MALT1,protein_coding,chr18,+,5
PRL,protein_coding,chr6,-,3
ISG20,protein_coding,chr15,+,11
OR4C11,protein_coding,chr11,-,1
MBOAT1,protein_coding,chr6,-,1
OR8U1,protein_coding,chr11,+,1
ID4,protein_coding,chr6,+,1
GPR22,protein_coding,chr7,+,3
CXCR6,protein_coding,chr3,+,4
CEBPB,protein_coding,chr20,+,1
AZU1,protein_coding,chr19,+,2
TPSAB1,protein_coding,chr16,+,4
ATOH1,protein_coding,chr4,+,1
PAIP1,protein_coding,chr5,-,10
CLEC7A,protein_coding,chr12,-,13
C5orf34,protein_coding,chr5,-,5
C1QTNF4,protein_coding,chr11,-,2
NEGR1,protein_coding,chr1,-,5
ZNF131,protein_coding,chr5,+,20
MACROD2,protein_coding,chr20,+,14
DPAGT1,protein_coding,chr11,-,15
BSG,protein_coding,chr19,+,16
HINFP,protein_coding,chr11,+,14
CDY1,protein_coding,chrY,+,2
OR10V1,protein_coding,chr11,-,1
CERS6,protein_coding,chr2,+,2
SPTLC3,protein_coding,chr20,+,6
COPRS,protein_coding,chr17,-,5
TP53RK,protein_coding,chr20,-,2
B3GALT1,protein_coding,chr2,+,1
OR5A1,protein_coding,chr11,+,1
CLEC12A,protein_coding,chr12,+,7
OR5A2,protein_coding,chr11,-,1
BPGM,protein_coding,chr7,+,4
POP7,protein_coding,chr7,+,2
ALG14,protein_coding,chr1,-,3
SUCLG2,protein_coding,chr3,-,4
STARD5,protein_coding,chr15,-,6
CSDC2,protein_coding,chr22,+,2
RCAN2,protein_coding,chr6,-,4
IL16,protein_coding,chr15,+,13
ABCG4,protein_coding,chr11,+,6
CDY1B,protein_coding,chrY,-,2
GNB2,protein_coding,chr7,+,13
CFAP53,protein_coding,chr18,-,1
OR5B12,protein_coding,chr11,-,1
OR5B2,protein_coding,chr11,-,1
MCRIP2,protein_coding,chr16,+,11
PDZD3,protein_coding,chr11,+,14
C2CD2L,protein_coding,chr11,+,10
OR9I1,protein_coding,chr11,-,1
ARNT2,protein_coding,chr15,+,10
GNG12,protein_coding,chr1,-,2
PRSS27,protein_coding,chr16,-,5
MYOZ2,protein_coding,chr4,+,1
SYNPO2,protein_coding,chr4,+,6
DNAJB7,protein_coding,chr22,-,1
CLP1,protein_coding,chr11,+,6
INSL5,protein_coding,chr1,-,1
EFCAB3,protein_coding,chr17,+,6
TTC36,protein_coding,chr11,+,3
RSPH9,protein_coding,chr6,+,2
COPS9,protein_coding,chr2,-,5
GTPBP2,protein_coding,chr6,-,10
FGGY,protein_coding,chr1,+,25
OR9G4,protein_coding,chr11,-,1
IL17D,protein_coding,chr13,+,3
FUT9,protein_coding,chr6,+,2
OR5AP2,protein_coding,chr11,-,2
TCEAL1,protein_coding,chrX,+,4
ZNF24,protein_coding,chr18,-,6
HSFY1,protein_coding,chrY,+,4
MANEA,protein_coding,chr6,+,3
RAB40A,protein_coding,chrX,-,2
C2orf54,protein_coding,chr2,-,5
AGXT,protein_coding,chr2,+,4
OR8J1,protein_coding,chr11,+,1
OR5T3,protein_coding,chr11,+,1
AFF1,protein_coding,chr4,+,11
ACOT12,protein_coding,chr5,-,4
FIBP,protein_coding,chr11,-,13
CARNS1,protein_coding,chr11,+,7
OR10H5,protein_coding,chr19,+,1
TRIM40,protein_coding,chrCHR_HSCHR6_MHC_QBL_CTG1,+,4
BANP,protein_coding,chr16,+,27
PPP1CA,protein_coding,chr11,-,11
HCFC1,protein_coding,chrX,-,4
FAM170B,protein_coding,chr10,-,1
CTSW,protein_coding,chr11,+,4
NIPAL4,protein_coding,chr5,+,5
MUCL1,protein_coding,chr12,+,5
SNTG2,protein_coding,chr2,+,12
FNDC9,protein_coding,chr5,-,2
PDE3A,protein_coding,chr12,+,3
RASGRP1,protein_coding,chr15,-,13
KLHL6,protein_coding,chr3,-,4
CHCHD1,protein_coding,chr10,+,2
MRPL52,protein_coding,chr14,+,17
SMPDL3A,protein_coding,chr6,+,3
RND1,protein_coding,chr12,-,5
RAD9A,protein_coding,chr11,+,11
EFEMP2,protein_coding,chr11,-,20
OR10AD1,protein_coding,chr12,-,1
AGAP5,protein_coding,chr10,-,4
FAM21C,protein_coding,chr10,+,10
TMEM134,protein_coding,chr11,-,17
